folder,file,type,name,state
00003,01001.png,3,2,1
00003,01002.png,3,2,1
00003,01003.png,3,1,1
00003,01004.png,3,2,1
00003,01005.png,3,1,1
00003,01006.png,3,2,1
00003,01007.png,2,5,3
00003,01008.png,2,4,1
00003,01009.png,3,1,1
00003,01010.png,3,1,1
00003,01011.png,1,4,1
00003,01012.png,1,1,1
00003,01013.png,1,1,1
00003,01014.png,3,1,1
00003,01015.png,3,1,1
00003,01016.png,2,5,3
00003,01017.png,2,5,3
00003,01018.png,0,0,0
00003,01019.png,1,1,1
00003,01020.png,3,1,1
00003,01021.png,1,4,1
00003,01022.png,3,1,1
00003,01023.png,2,5,3
00003,01024.png,2,5,3
00003,01025.png,3,1,1
00003,01026.png,2,1,1
00003,01027.png,3,1,1
00003,01028.png,3,2,1
00003,01029.png,3,2,1
00003,01030.png,3,1,1
00003,01031.png,1,1,1
00003,01032.png,2,3,1
00003,01033.png,2,2,1
00003,01034.png,2,5,2
00003,01035.png,2,4,1
00003,01036.png,2,4,1
00003,01037.png,2,2,1
00003,01038.png,2,1,1
00003,01039.png,2,2,1
00003,01040.png,0,0,0
00003,01041.png,2,4,1
00003,01042.png,2,5,3
00003,01043.png,3,2,1
00003,01044.png,3,2,1
00003,01045.png,2,5,2
00003,01046.png,2,3,1
00003,01047.png,2,4,1
00003,01048.png,2,4,1
00003,01049.png,3,1,1
00003,01050.png,3,1,1
00003,01051.png,2,4,1
00003,01052.png,2,5,2
00003,01053.png,2,2,1
00003,01054.png,2,3,1
00003,01055.png,1,2,1
00003,01056.png,0,0,0
00003,01057.png,2,5,3
00003,01058.png,3,1,1
00003,01059.png,2,3,1
00003,01060.png,2,5,3
00003,01061.png,3,2,1
00003,01062.png,3,1,1
00003,01063.png,2,4,1
00003,01064.png,2,3,1
00003,01065.png,2,2,1
00003,01066.png,2,5,2
00003,01067.png,2,2,1
00003,01068.png,3,2,1
00003,01069.png,2,5,2
00003,01070.png,2,2,1
00003,01071.png,0,0,0
00003,01072.png,3,1,1
00003,01073.png,3,1,1
00003,01074.png,1,2,1
00003,01075.png,1,1,1
00003,01076.png,2,4,1
00003,01077.png,1,2,1
00003,01078.png,2,5,3
00003,01079.png,2,5,3
00003,01080.png,1,4,1
00003,01081.png,3,1,1
00003,01082.png,3,2,1
00003,01083.png,2,5,3
00003,01084.png,2,5,2
00003,01085.png,0,0,0
00003,01086.png,1,4,1
00003,01087.png,3,1,1
00003,01088.png,1,3,1
00003,01089.png,2,5,2
00003,01090.png,3,1,1
00003,01091.png,3,2,1
00003,01092.png,3,2,1
00003,01093.png,3,1,1
00003,01094.png,2,2,1
00003,01095.png,2,5,3
00003,01096.png,2,5,3
00003,01097.png,3,2,1
00003,01098.png,0,0,0
00003,01099.png,2,5,2
00003,01100.png,0,0,0
00003,01101.png,1,4,1
00003,01102.png,3,1,1
00003,01103.png,2,4,1
00003,01104.png,3,1,1
00003,01105.png,2,1,1
00003,01106.png,1,3,1
00003,01107.png,2,1,1
00003,01108.png,2,5,2
00003,01109.png,2,3,1
00003,01110.png,0,0,0
00003,01111.png,3,1,1
00003,01112.png,2,6,3
00003,01113.png,1,4,1
00003,01114.png,3,2,1
00003,01115.png,1,4,1
00003,01116.png,1,3,1
00003,01117.png,3,1,1
00003,01118.png,2,2,1
00003,01119.png,3,2,1
00003,01120.png,2,2,1
00003,01121.png,1,1,1
00003,01122.png,2,5,3
00003,01123.png,1,3,1
00003,01124.png,2,6,2
00003,01125.png,3,2,1
00003,01126.png,2,5,3
00003,01127.png,3,1,1
00003,01128.png,2,3,1
00003,01129.png,0,0,0
00003,01130.png,3,2,1
00003,01131.png,2,5,2
00003,01132.png,0,0,0
00003,01133.png,3,2,1
00003,01134.png,0,0,0
00003,01135.png,1,1,1
00003,01136.png,3,1,1
00003,01137.png,0,0,0
00003,01138.png,2,5,3
00003,01139.png,3,1,1
00003,01140.png,3,2,1
00003,01141.png,0,0,0
00003,01142.png,3,2,1
00003,01143.png,1,2,1
00003,01144.png,3,1,1
00003,01145.png,3,1,1
00003,01146.png,2,1,1
00003,01147.png,3,2,1
00003,01148.png,1,4,1
00003,01149.png,3,2,1
00003,01150.png,2,3,1
00003,01151.png,2,5,2
00003,01152.png,1,3,1
00003,01153.png,3,1,1
00003,01154.png,1,3,1
00003,01155.png,3,1,1
00003,01156.png,0,0,0
00003,01157.png,1,4,1
00003,01158.png,3,2,1
00003,01159.png,3,2,1
00003,01160.png,2,5,2
00003,01161.png,3,2,1
00003,01162.png,1,4,1
00003,01163.png,2,5,2
00003,01164.png,0,0,0
00003,01165.png,1,3,1
00003,01166.png,1,3,1
00003,01167.png,2,1,1
00003,01168.png,1,4,1
00003,01169.png,0,0,0
00003,01170.png,2,5,3
00003,01171.png,1,4,1
00003,01172.png,3,1,1
00003,01173.png,1,4,1
00003,01174.png,3,1,1
00003,01175.png,3,1,1
00003,01176.png,3,1,1
00003,01177.png,2,5,2
00003,01178.png,0,0,0
00003,01179.png,1,4,1
00003,01180.png,1,4,1
00003,01181.png,3,1,1
00003,01182.png,0,0,0
00003,01183.png,3,1,1
00003,01184.png,3,2,1
00003,01185.png,1,4,1
00003,01186.png,2,5,2
00003,01187.png,2,5,2
00003,01188.png,2,5,3
00003,01189.png,2,5,3
00003,01190.png,1,4,1
00003,01191.png,1,4,1
00003,01192.png,3,1,1
00003,01193.png,3,1,1
00003,01194.png,1,4,1
00003,01195.png,1,3,1
00003,01196.png,0,0,0
00003,01197.png,1,4,1
00003,01198.png,2,5,2
00003,01199.png,2,5,2
00003,01200.png,2,3,1
00003,01201.png,0,0,0
00003,01202.png,2,2,1
00003,01203.png,2,5,3
00003,01204.png,1,2,1
00003,01205.png,2,2,1
00003,01206.png,2,3,1
00003,01207.png,2,5,2
00003,01208.png,2,5,3
00003,01209.png,2,4,1
00003,01210.png,0,0,0
00003,01211.png,2,6,3
00003,01212.png,2,5,2
00003,01213.png,1,4,1
00003,01214.png,2,5,3
00003,01215.png,2,4,1
00003,01216.png,0,0,0
00003,01217.png,2,2,1
00003,01218.png,3,2,1
00003,01219.png,1,1,1
00003,01220.png,2,2,1
00003,01221.png,2,5,3
00003,01222.png,3,2,1
00003,01223.png,2,4,1
00003,01224.png,2,2,1
00003,01225.png,2,5,3
00003,01226.png,0,0,0
00003,01227.png,2,5,3
00003,01228.png,0,0,0
00003,01229.png,0,0,0
00003,01230.png,0,0,0
00003,01231.png,3,1,1
00003,01232.png,1,3,1
00003,01233.png,0,0,0
00003,01234.png,2,5,2
00003,01235.png,3,2,1
00003,01236.png,1,3,1
00003,01237.png,2,5,3
00003,01238.png,1,3,1
00003,01239.png,1,3,1
00003,01240.png,3,1,1
00003,01241.png,2,3,1
00003,01242.png,1,3,1
00003,01243.png,1,1,1
00003,01244.png,3,1,1
00003,01245.png,2,5,3
00003,01246.png,0,0,0
00003,01247.png,2,5,2
00003,01248.png,2,5,2
00003,01249.png,1,1,1
00003,01250.png,3,1,1
00003,01251.png,2,3,1
00003,01252.png,2,5,2
00003,01253.png,2,3,1
00003,01254.png,2,5,2
00003,01255.png,1,3,1
00003,01256.png,1,3,1
00003,01257.png,2,2,1
00003,01258.png,0,0,0
00003,01259.png,2,5,2
00003,01260.png,2,5,3
00003,01261.png,3,1,1
00003,01262.png,3,1,1
00003,01263.png,1,3,1
00003,01264.png,1,3,1
00003,01265.png,3,1,1
00003,01266.png,1,1,1
00003,01267.png,2,5,2
00003,01268.png,2,2,1
00003,01269.png,2,2,1
00003,01270.png,3,1,1
00003,01271.png,1,1,1
00003,01272.png,1,4,1
00003,01273.png,1,4,1
00003,01274.png,3,2,1
00003,01275.png,1,2,1
00003,01276.png,3,1,1
00003,01277.png,1,3,1
00003,01278.png,1,2,1
00003,01279.png,3,2,1
00003,01280.png,3,1,1
00003,01281.png,0,0,0
00003,01282.png,3,2,1
00003,01283.png,2,2,1
00003,01284.png,0,0,0
00003,01285.png,3,2,1
00003,01286.png,2,2,1
00003,01287.png,2,4,1
00003,01288.png,2,5,3
00003,01289.png,2,4,1
00003,01290.png,2,4,1
00003,01291.png,1,4,1
00003,01292.png,1,4,1
00003,01293.png,3,2,1
00003,01294.png,0,0,0
00003,01295.png,1,3,1
00003,01296.png,1,3,1
00003,01297.png,2,4,1
00003,01298.png,1,3,1
00003,01299.png,2,4,1
00003,01300.png,1,3,1
00003,01301.png,3,2,1
00003,01302.png,1,3,1
00003,01303.png,3,2,1
00003,01304.png,3,2,1
00003,01305.png,1,3,1
00003,01306.png,0,0,0
00003,01307.png,1,3,1
00003,01308.png,2,3,1
00003,01309.png,1,2,1
00003,01310.png,3,2,1
00003,01311.png,3,1,1
00003,01312.png,0,0,0
00003,01313.png,2,5,2
